                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.34643,                0.34858,                0.96401,                0.87637,                0.81918,                0.88023,                0.78362,                0.53279,                0.72917,                 1.0979,             8.3371e-05,             8.3371e-05,             8.3371e-05
                     88,                0.34221,                0.33965,                 0.9622,                0.85378,                 0.8061,                0.87607,                0.77995,                0.52213,                0.75363,                 1.0932,             7.8164e-05,             7.8164e-05,             7.8164e-05
                     89,                0.34137,                0.33752,                0.96015,                0.84524,                0.83131,                 0.8824,                0.78315,                0.52488,                 0.7091,                 1.0973,             7.2956e-05,             7.2956e-05,             7.2956e-05
                     90,                0.34091,                0.33463,                0.96481,                0.87768,                0.80838,                0.87765,                0.78588,                0.52855,                0.70975,                 1.0957,             6.7749e-05,             6.7749e-05,             6.7749e-05
                     91,                0.26092,                0.35319,                0.89969,                0.83541,                 0.8216,                0.86598,                0.74571,                0.57802,                0.75718,                  1.164,             6.2541e-05,             6.2541e-05,             6.2541e-05
                     92,                0.23971,                0.28987,                0.87446,                0.84194,                0.84725,                0.87709,                0.76488,                0.55619,                0.68428,                 1.1519,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     93,                0.23405,                0.26956,                0.88266,                0.84997,                0.84625,                0.88257,                0.77647,                 0.5406,                0.68857,                 1.1289,             5.2127e-05,             5.2127e-05,             5.2127e-05
                     94,                 0.2282,                0.26367,                 0.8673,                0.82874,                0.83615,                0.87764,                0.77814,                0.53607,                 0.7265,                 1.1294,             4.6919e-05,             4.6919e-05,             4.6919e-05
                     95,                0.22607,                0.26603,                  0.866,                0.84309,                0.83219,                0.87977,                0.77851,                0.52588,                0.72013,                 1.1128,             4.1712e-05,             4.1712e-05,             4.1712e-05
                     96,                0.22354,                0.24512,                0.87112,                0.83924,                0.83659,                0.87788,                0.77737,                0.52381,                0.72575,                 1.1089,             3.6504e-05,             3.6504e-05,             3.6504e-05
                     97,                0.21781,                0.24906,                 0.8628,                0.82925,                0.83478,                0.88315,                0.78144,                0.52573,                0.69074,                 1.1172,             3.1297e-05,             3.1297e-05,             3.1297e-05
                     98,                0.21517,                0.23908,                0.86255,                0.83622,                0.83581,                0.88493,                0.78431,                0.51923,                0.68183,                 1.1129,              2.609e-05,              2.609e-05,              2.609e-05
                     99,                0.21671,                0.24082,                0.85432,                0.83499,                0.84636,                0.88608,                0.78214,                0.51766,                 0.6919,                 1.1104,             2.0882e-05,             2.0882e-05,             2.0882e-05
                    100,                0.21067,                0.23589,                0.85698,                0.81522,                0.85162,                0.88631,                  0.784,                0.51428,                 0.6916,                 1.1039,             1.5675e-05,             1.5675e-05,             1.5675e-05
