                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.71634,                 1.3248,                 1.3662,                0.64398,                0.46444,                0.57207,                0.43994,                0.89871,                 1.4649,                 1.6308,               0.003664,               0.003664,               0.003664
                     67,                0.70944,                 1.3168,                 1.3602,                0.46754,                 0.5555,                0.55427,                0.42546,                0.88967,                 1.4992,                 1.6206,               0.003565,               0.003565,               0.003565
                     68,                0.72322,                 1.3211,                 1.3627,                0.53465,                0.54667,                0.57317,                0.43993,                 0.8648,                 1.5234,                 1.5808,               0.003466,               0.003466,               0.003466
                     69,                 0.7295,                 1.3378,                 1.3697,                0.67752,                0.48677,                  0.604,                0.45212,                0.86541,                 1.4129,                 1.5883,               0.003367,               0.003367,               0.003367
                     70,                0.70917,                  1.295,                 1.3544,                0.65175,                0.52763,                0.60344,                0.46883,                0.85579,                 1.3773,                  1.567,               0.003268,               0.003268,               0.003268
                     71,                0.70845,                 1.2622,                  1.365,                0.54178,                0.58551,                0.60106,                0.45721,                 0.8964,                 1.3755,                 1.6248,               0.003169,               0.003169,               0.003169
                     72,                0.72415,                 1.2937,                 1.3809,                 0.4792,                0.55369,                0.57988,                0.44613,                0.88307,                 1.4434,                 1.6314,                0.00307,                0.00307,                0.00307
                     73,                0.70678,                 1.2783,                 1.3524,                0.55923,                0.55515,                0.60641,                0.46541,                0.88787,                 1.3687,                 1.5957,               0.002971,               0.002971,               0.002971
                     74,                0.69992,                 1.2334,                 1.3468,                0.52775,                0.59177,                0.62461,                0.47515,                0.86326,                 1.3708,                 1.5557,               0.002872,               0.002872,               0.002872
                     75,                0.68677,                 1.2277,                 1.3252,                0.62235,                0.56815,                0.66035,                 0.4979,                0.87143,                 1.3033,                  1.583,               0.002773,               0.002773,               0.002773
                     76,                0.70253,                 1.2171,                 1.3615,                 0.5232,                0.64723,                0.64269,                0.49505,                0.82625,                 1.3198,                 1.5302,               0.002674,               0.002674,               0.002674
                     77,                0.68524,                 1.2061,                  1.332,                0.54848,                0.54614,                0.60564,                 0.4718,                0.83843,                  1.407,                  1.578,               0.002575,               0.002575,               0.002575
                     78,                0.67301,                 1.1646,                 1.3261,                0.56884,                0.54725,                0.60102,                0.47572,                0.83481,                 1.3702,                 1.5494,               0.002476,               0.002476,               0.002476
                     79,                0.68356,                  1.205,                 1.3371,                0.56792,                 0.5542,                0.62407,                0.48068,                0.83398,                 1.3179,                 1.5505,               0.002377,               0.002377,               0.002377
                     80,                 0.6718,                  1.193,                 1.3196,                 0.6217,                0.50241,                0.60292,                0.46936,                0.85092,                 1.3912,                 1.5728,               0.002278,               0.002278,               0.002278
                     81,                0.64781,                 1.1419,                 1.3097,                0.52952,                0.65578,                0.64741,                0.49809,                0.84727,                 1.2833,                 1.5622,               0.002179,               0.002179,               0.002179
                     82,                0.67807,                 1.1571,                 1.3275,                 0.5754,                0.58781,                0.64411,                0.49858,                0.82745,                 1.3111,                 1.5384,                0.00208,                0.00208,                0.00208
                     83,                0.64491,                 1.0885,                 1.3085,                0.56712,                0.63416,                0.67459,                0.51533,                 0.8387,                 1.2053,                 1.5588,               0.001981,               0.001981,               0.001981
                     84,                0.65372,                 1.1328,                 1.3106,                 0.5766,                0.57301,                0.63988,                0.48821,                0.81336,                 1.2906,                  1.533,               0.001882,               0.001882,               0.001882
                     85,                0.66428,                 1.1113,                 1.3137,                0.66449,                0.56163,                0.67186,                0.51629,                0.84651,                 1.2471,                 1.5427,               0.001783,               0.001783,               0.001783
                     86,                 0.6507,                 1.1164,                 1.3069,                0.63452,                0.57263,                0.63696,                0.49611,                0.84309,                 1.3417,                 1.5528,               0.001684,               0.001684,               0.001684
                     87,                0.63702,                 1.0951,                 1.3014,                0.56873,                0.58699,                0.64659,                0.49924,                0.81556,                 1.2717,                 1.5311,               0.001585,               0.001585,               0.001585
                     88,                0.64648,                 1.0604,                 1.3054,                0.60467,                0.64596,                0.67435,                0.51967,                0.83391,                 1.2308,                 1.5492,               0.001486,               0.001486,               0.001486
                     89,                0.64669,                 1.0744,                 1.2981,                0.54943,                0.66033,                0.65951,                0.51396,                0.82027,                 1.2229,                 1.5431,               0.001387,               0.001387,               0.001387
                     90,                 0.6214,                 1.0555,                 1.2676,                0.59867,                0.62536,                0.66753,                0.51794,                0.81128,                 1.2139,                  1.525,               0.001288,               0.001288,               0.001288
                     91,                0.68123,                 1.0853,                 1.2933,                0.63198,                0.58009,                0.65582,                0.51058,                0.83102,                 1.2615,                 1.5725,               0.001189,               0.001189,               0.001189
                     92,                0.67075,                 1.0203,                 1.2648,                0.63644,                0.62132,                0.67257,                0.52781,                0.81908,                 1.2198,                 1.5461,                0.00109,                0.00109,                0.00109
                     93,                0.65752,                0.99279,                 1.2663,                0.70843,                0.55361,                0.66891,                0.52534,                0.79921,                 1.1834,                 1.5238,               0.000991,               0.000991,               0.000991
                     94,                 0.6306,                0.93272,                 1.2639,                0.57289,                0.68469,                0.67482,                 0.5282,                0.78998,                 1.1748,                 1.5082,               0.000892,               0.000892,               0.000892
                     95,                 0.6138,                0.92805,                 1.2384,                0.61542,                0.62426,                0.67985,                0.53069,                0.80383,                 1.2061,                 1.5276,               0.000793,               0.000793,               0.000793
                     96,                0.63795,                0.91109,                 1.2516,                0.64449,                0.59703,                0.67579,                 0.5325,                0.80276,                 1.1826,                   1.52,               0.000694,               0.000694,               0.000694
                     97,                0.61239,                0.88521,                 1.2423,                0.62563,                0.65291,                0.68999,                 0.5398,                 0.7915,                 1.1558,                 1.5037,               0.000595,               0.000595,               0.000595
                     98,                 0.6152,                0.84454,                 1.2282,                0.69052,                 0.6108,                0.70753,                0.55542,                0.78937,                 1.1365,                 1.5086,               0.000496,               0.000496,               0.000496
                     99,                0.61062,                 0.8313,                 1.2112,                0.63838,                 0.6594,                 0.6991,                0.54632,                0.79774,                 1.1612,                 1.5264,               0.000397,               0.000397,               0.000397
                    100,                0.60003,                0.85335,                 1.2417,                0.63812,                 0.6441,                0.69966,                0.55156,                0.78085,                 1.1438,                 1.4988,               0.000298,               0.000298,               0.000298
